product_id,name,brand,category,category_id,price_current,price_ratio,image_url,url
209278996,Adore Me Madelaine swimwear high-waisted bikini bottom in black,Adore Me,Women's Swimwear and Beachwear,2238,14.95,,https://images.asos-media.com/products/adore-me-madelaine-swimwear-high-waisted-bikini-bottom-in-black/209278996-1-black,https://www.asos.comadore-me/adore-me-madelaine-swimwear-high-waisted-bikini-bottom-in-black/prd/209278996#colourWayId-209278998
209463559,ASOS DESIGN lace trim satin slip maxi dress in navy,ASOS DESIGN,Women's Dresses,8799,69.99,,https://images.asos-media.com/products/asos-design-lace-trim-satin-slip-maxi-dress-in-navy/209463559-1-navy,https://www.asos.comasos-design/asos-design-lace-trim-satin-slip-maxi-dress-in-navy/prd/209463559#colourWayId-209463560
209226186,Adore Me Demi swimwear bra in black,Adore Me,Women's Swimwear and Beachwear,2238,39.95,,https://images.asos-media.com/products/adore-me-demi-swimwear-bra-in-black/209226186-1-black,https://www.asos.comadore-me/adore-me-demi-swimwear-bra-in-black/prd/209226186#colourWayId-209226188
207314147,Iisla & Bird double tie beach vest in olive green - part of a set,Iisla & Bird,Women's Swimwear and Beachwear,2238,52.0,,https://images.asos-media.com/products/iisla-bird-double-tie-beach-vest-in-olive-green-part-of-a-set/207314147-1-green,https://www.asos.comiisla-bird/iisla-bird-double-tie-beach-vest-in-olive-green-part-of-a-set/prd/207314147#colourWayId-207314157
209338453,ARKET sporty nylon jacket with zip front in black,Arket,Women's Coats and Jackets,2641,159.0,,https://images.asos-media.com/products/arket-sporty-nylon-jacket-with-zip-front-in-black/209338453-1-black,https://www.asos.comarket/arket-sporty-nylon-jacket-with-zip-front-in-black/prd/209338453#colourWayId-209338460
208369661,Topshop twill bomber with faux fur collar with wool in brown,Topshop,Women's Coats and Jackets,2641,139.0,,https://images.asos-media.com/products/topshop-twill-bomber-with-faux-fur-collar-with-wool-in-brown/208369661-1-brown,https://www.asos.comtopshop/topshop-twill-bomber-with-faux-fur-collar-with-wool-in-brown/prd/208369661#colourWayId-208369662
209197320,Pieces wide leg dad pants with belt loops in chocolate brown - part of a set,Pieces,Women's Pants,2640,63.0,,https://images.asos-media.com/products/pieces-wide-leg-dad-pants-with-belt-loops-in-chocolate-brown-part-of-a-set/209197320-1-hotfudge,https://www.asos.compieces/pieces-oversized-tailored-blazer-and-pants-suit-set-in-chocolate-brown/grp/209711629#colourWayId-209197327&productId-209197320
209338476,ARKET oversized faux shearling jacket in light beige with brown contrast edging,Arket,Women's Coats and Jackets,2641,275.0,,https://images.asos-media.com/products/arket-oversized-faux-shearling-jacket-in-light-beige-with-brown-contrast-edging/209338476-1-beige,https://www.asos.comarket/arket-oversized-faux-shearling-jacket-in-light-beige-with-brown-contrast-edging/prd/209338476#colourWayId-209338481
23560886,Rip Curl Leliani high leg bikini bottom in reversible rib & multi tropical print,Ripcurl,Women's Swimwear and Beachwear,2238,43.0,,https://images.asos-media.com/products/rip-curl-leliani-high-leg-bikini-bottom-in-reversible-rib-multi-tropical-print/23560886-1-multi,https://www.asos.comripcurl/rip-curl-leliani-high-leg-bikini-bottom-in-reversible-rib-multi-tropical-print/prd/23560886#colourWayId-60493790
208715037,ONLY slouchy teddy jacket in light brown,ONLY,Women's Coats and Jackets,2641,99.0,,https://images.asos-media.com/products/only-slouchy-teddy-jacket-in-light-brown/208715037-1-brown,https://www.asos.comonly/only-slouchy-teddy-jacket-in-light-brown/prd/208715037#colourWayId-208715049
